Accuracy,Precision,Recall,F1,Youden,Backdoor_acc
0.9976824429534368,0.9988783123231284,0.9919573237407131,0.9954057878868675,0.9915798489432162,0.999800188912301
0.9976591639206029,0.9987858083635166,0.9919573237407131,0.9953598547967821,0.9915486812993861,0.9998910121339825
0.997628125210158,0.9984676142090215,0.9921514925449398,0.9952995330288538,0.9916354948859762,0.9997820242679648
0.9977031354270668,0.9988886716539241,0.9920288596159546,0.9954469477116811,0.9916548478899943,0.9997638596236286
0.9975841537036941,0.9979039732037358,0.9925398301533933,0.9952146736345936,0.991833363559913,0.9997638596236286
0.9976824429534368,0.9985192040721887,0.9923150031169202,0.9954074362628011,0.9918163208156399,0.9997093656906197
0.9976255386509542,0.9987035303075514,0.9919062266869693,0.9952932731747335,0.991469879673349,0.9997456949792923
0.9976410580061768,0.9982729730563237,0.9923967584029105,0.9953261927945473,0.9918149623847503,0.9996912010462835
0.9972323816519836,0.9970929336716351,0.9919573237407131,0.9945184987858732,0.9909772744958358,0.9996730364019473
0.997522076282804,0.9988467756051854,0.9913543785065353,0.9950864739552348,0.9909665144944284,0.999654871757611
0.9976720967166217,0.9984883852458174,0.9923047837061715,0.9953869810353665,0.9917957121902812,0.9996730364019473
0.997679856394233,0.998662771560237,0.9921617119556886,0.9954016271165588,0.9917115126559217,0.9996912010462835
0.9977186547822893,0.9986629778568563,0.9923150031169202,0.9954788706403396,0.9918648038171534,0.9997093656906197
0.997679856394233,0.9985602040396561,0.9922639060631764,0.9954020985293891,0.9917790760480427,0.9997093656906197
0.9976565773613992,0.9988781968815932,0.9918551296332253,0.995354274990001,0.9914776548357285,0.9997275303349561
0.9976746832758255,0.9988988144245019,0.9919062266869693,0.9953902400254332,0.9915356780325457,0.9997456949792923
0.9975169031643966,0.9987337732527615,0.9914463532032743,0.99507672109625,0.9910203954042642,0.9997093656906197
0.9975246628420078,0.998395193811209,0.9918142519902302,0.9950938424390319,0.9912740128305098,0.9996730364019473
0.9975246628420078,0.9987338123571678,0.9914770114355206,0.9950921818508166,0.9910510536365105,0.9996912010462835
0.99729187251367,0.9973796703522545,0.9919062266869693,0.9946354185347058,0.9910231434451187,0.9997093656906197
0.9975169031643966,0.9986003190449236,0.9915792055430084,0.9950773774728486,0.9911082278140215,0.9996185424689384
0.9976307117693617,0.9981909568399305,0.9924376360459056,0.9953059823103176,0.9918281354554519,0.9996367071132747
0.9976436445653805,0.9982934802722208,0.9923865389921617,0.9953312458040148,0.9918116691170746,0.9996367071132747
0.9976591639206029,0.9983140754142851,0.9924274166351568,0.9953620425462129,0.9918594729031431,0.9996185424689384
0.9975970864997129,0.9979552413637204,0.9925398301533933,0.9952401690790317,0.9918506789175963,0.9996367071132747
0.9973772289673938,0.9979329706605239,0.9916916190612449,0.9948025054589069,0.9909955416823744,0.9996367071132747
0.9975065569275815,0.9981798175704164,0.9919573237407131,0.9950588428260959,0.9913443600787226,0.999654871757611
0.9976591639206029,0.9984063007670321,0.9923354419384178,0.9953616146706235,0.9917986658502342,0.999654871757611
0.9974729316579327,0.9976575021575638,0.9923456613491666,0.9949944924046418,0.991556081038806,0.9995277192472571
0.9976462311245842,0.9983242348538589,0.9923661001706642,0.9953362511659373,0.9918016195101873,0.9995277192472571
0.9976151924141392,0.9981191609196584,0.9924478554566544,0.9952754291570587,0.9918141133654439,0.9995277192472571
0.9976203655325466,0.9982625859711528,0.9923252225276691,0.9952850495069803,0.991739963437972,0.999582213180266
0.9976229520917504,0.9982830941316774,0.9923150031169202,0.9952901020392474,0.9917366701702965,0.9995458838915934
0.9975479418748415,0.9983953423783906,0.9919062266869693,0.9951402060798687,0.9913659875272489,0.9995458838915934
0.9975841537036941,0.9978016785314391,0.9926420242608811,0.9952151639344262,0.991900926952034,0.9995640485359296
0.9976617504798068,0.9983960683110393,0.9923558807599154,0.9953668111975564,0.9918156416001951,0.999582213180266
0.9974625854211177,0.9982204941471744,0.9917427161149888,0.9949710618185174,0.9911436047391451,0.9995458838915934
0.9974082676778389,0.9973298004539339,0.992417197224408,0.9948674343318444,0.9915167986248741,0.9994732253142483
